Date,Close
3/17/2016,60.8
3/18/2016,60.15
3/21/2016,61.05
3/22/2016,62.32
3/23/2016,62.25
3/24/2016,61.69
3/28/2016,60.34
3/29/2016,61.14
3/30/2016,61.07
3/31/2016,61.18
4/1/2016,62.03
4/4/2016,64.28
4/5/2016,63.65
4/6/2016,63.84
4/7/2016,64.02
4/8/2016,64.5
4/11/2016,63.31
4/12/2016,61.75
4/13/2016,63.77
4/14/2016,63
4/15/2016,63.28
4/18/2016,64.47
4/19/2016,63.67
4/20/2016,65.11
4/21/2016,74.27
4/22/2016,73.11
4/25/2016,73.41
4/26/2016,72.66
4/27/2016,73.15
4/28/2016,71.37
4/29/2016,71.48
5/2/2016,72.02
5/3/2016,69.84
5/4/2016,67.61
5/5/2016,67.79
5/6/2016,67.28
5/9/2016,67.43
5/10/2016,68.53
5/11/2016,68.64
5/12/2016,67.47
5/13/2016,67.44
5/16/2016,70.3
5/17/2016,69.5
5/18/2016,70.03
5/19/2016,69.75
5/20/2016,70
5/23/2016,70.23
5/24/2016,70.98
5/25/2016,70.76
5/26/2016,70.05
5/27/2016,70.73
5/31/2016,71.63
6/1/2016,73.17
6/2/2016,74.23
6/3/2016,73.53
6/6/2016,75.06
6/7/2016,76.02
6/8/2016,77.04
6/9/2016,75.56
6/10/2016,74.03
6/13/2016,72.71
6/14/2016,72.98
6/15/2016,74.47
6/16/2016,73.68
6/17/2016,72.07
6/20/2016,72.6
6/21/2016,72.73
6/22/2016,71.92
6/23/2016,75.18
6/24/2016,70.33
6/27/2016,63.67
6/28/2016,65.13
6/29/2016,66.44
6/30/2016,66.4
7/1/2016,66.21
7/5/2016,65.27
7/6/2016,65.33
7/7/2016,65.01
7/8/2016,69.12
7/11/2016,68.85
7/12/2016,70.46
7/13/2016,70.15
7/14/2016,70.16
7/15/2016,71.02
7/18/2016,69.83
7/19/2016,69.99
7/20/2016,72.65
7/21/2016,71.05
7/22/2016,72.67
7/25/2016,73.56
7/26/2016,73.34
7/27/2016,72.98
7/28/2016,76.38
7/29/2016,74.92
8/1/2016,75.07
8/2/2016,73.23
8/3/2016,74.27
8/4/2016,74.94
8/5/2016,75.83
8/8/2016,74.94
8/9/2016,75
8/10/2016,74.55
8/11/2016,76.09
8/12/2016,75.77
8/15/2016,76.74
8/16/2016,74.52
8/17/2016,73.07
8/18/2016,73.07
8/19/2016,73.69
8/22/2016,71.39
8/23/2016,72.62
8/24/2016,72.77
8/25/2016,73.6
8/26/2016,73.5
8/29/2016,73.39
8/30/2016,73.44
8/31/2016,72.67
9/1/2016,74
9/2/2016,76.24
9/6/2016,77.72
9/7/2016,76.56
9/8/2016,75.4
9/9/2016,73.58
9/12/2016,74.53
9/13/2016,72.42
9/14/2016,72.56
9/15/2016,77.71
9/16/2016,77.29
9/19/2016,75.99
9/20/2016,75.28
9/21/2016,76.88
9/22/2016,77.92
9/23/2016,77.45
9/26/2016,76.75
9/27/2016,79.04
9/28/2016,79.77
9/29/2016,78.48
9/30/2016,79.15
10/3/2016,79.57
10/4/2016,79.28
10/5/2016,79.43
10/6/2016,78.38
10/7/2016,78.52
10/10/2016,80.03
10/11/2016,78.8
10/12/2016,75.27
10/13/2016,75.39
10/14/2016,75.62
10/17/2016,74.64
10/18/2016,76.16
10/19/2016,78.92
10/20/2016,78.85
10/21/2016,80.06
10/24/2016,81
10/25/2016,79.79
10/26/2016,78.9
10/27/2016,84.96
10/28/2016,86.12
10/31/2016,87.91
11/1/2016,86.89
11/2/2016,84.59
11/3/2016,83.88
11/4/2016,83.21
11/7/2016,85.09
11/8/2016,85.5
11/9/2016,84.98
11/10/2016,82.14
11/11/2016,82.63
11/14/2016,83.27
11/15/2016,85.62
11/16/2016,85.67
11/17/2016,86.83
11/18/2016,85.75
11/21/2016,86.55
11/22/2016,86.23
11/23/2016,87.05
11/25/2016,87.74
11/28/2016,84.82
11/29/2016,83.42
11/30/2016,83.15
12/1/2016,77.09
12/2/2016,76.56
12/5/2016,79.87
12/6/2016,79.61
12/7/2016,79.98
12/8/2016,80.11
12/9/2016,79.4
